drift_id,true_position,type,detected,alarm_position,delay_samples,label
1,800,mean,True,908,108,Abrupt mean drift (0 to 2.5)
2,1500,variance,True,1529,29,Variance drift (sigma 1 to 2.5)
3,2200,gradual,True,2508,308,Gradual mean drift (2.5 to 5.0)
4,3000,variance,True,3411,411,Variance shrink (1.0 → 0.3)
5,4000,mean,True,4409,409,Mean reversal (5 → 0)
6,5000,cyclic,True,5289,289,Cyclic drift (sin wave)
7,6000,distribution,True,6302,302,Gaussian → Uniform
8,7000,gradual,True,7520,520,Very slow gradual drift
9,9000,mean,True,10142,1142,Abrupt mean drift 2 (3.0 to 2.5)
10,12000,variance,True,12256,256,Late variance expansion
11,15000,variance,True,17082,2082,Noise reduction
