x,n300_reference,n799_pre_drift1,n900_post_drift1,n1000_post_drift1_200,n1499_pre_drift2,n1600_post_drift2,n1700_post_drift2_200,n2199_pre_drift3,n2300_post_drift3,n2400_post_drift3_200,n2999_pre_drift4,n3100_post_drift4,n3200_post_drift4_200,n3999_pre_drift5,n4100_post_drift5,n4200_post_drift5_200,n4999_pre_drift6,n5100_post_drift6,n5200_post_drift6_200,n5999_pre_drift7,n6100_post_drift7,n6200_post_drift7_200,n6999_pre_drift8,n7100_post_drift8,n7200_post_drift8_200,n8999_pre_drift9,n9100_post_drift9,n9200_post_drift9_200,n11999_pre_drift10,n12100_post_drift10,n12200_post_drift10_200,n14999_pre_drift11,n15100_post_drift11,n15200_post_drift11_200,n19999_final
-4.0,0.0424544219383397,0.08742926379611302,0.07849882862433501,0.07047355550071079,-0.01358478632356952,-0.012754826584409039,-0.03680214182751917,-0.057221246368539536,-0.054785585464126846,-0.05226695632212973,0.022740442182979465,0.02190125000310311,0.021267966384106284,0.01759579036812929,0.017049378157543683,0.034484094600459654,0.029040884852747063,0.028340717127941648,0.0777218717866032,0.06805535519814784,0.06670956513728463,0.06545884446341668,0.062213170623531835,0.06140026451042989,0.06056274755068231,0.05862729454591452,0.05805711392094078,0.05736870818230401,0.06364788567424103,0.06310203718811142,0.06281553556663519,0.02682493224883016,0.0266387981248088,0.02645335261036364,-0.010460513669827792
-3.9649122807017543,0.04164374279691207,0.07309993054091574,0.06568463836541558,0.05900622291893763,-0.03501043536405739,-0.03299770047250012,-0.04639284469418728,-0.08175370630425352,-0.07831467572361941,-0.07479305123534423,0.0019493262258209465,0.0018107346056322575,0.001779643686893144,0.0015596778874169721,0.0014300994574855778,0.024954175593025773,0.02111608919997199,0.020594737180447818,0.0637263634542024,0.055671217816111826,0.05455131346482968,0.053470700249339045,0.04232817015352011,0.0418287570686683,0.041296143927108404,0.04489529108679691,0.04447220801406622,0.043936356360970666,0.03324819194694589,0.0330205445993256,0.03297140226737027,0.0020749686692641683,0.002058067578694499,0.0020371754016825713,-0.01429175225340773
-3.9298245614035086,0.03793349445915403,0.053269749499075786,0.047925871131524085,0.043097526563187216,-0.053522341087919575,-0.05047534819752109,-0.05210906096631274,-0.09931882520207148,-0.09517152426108322,-0.09094723304609284,-0.019126098459983663,-0.01854803213603125,-0.017970969909775324,-0.014699334745796298,-0.014397950014680035,0.01305445841547016,0.011187876550968475,0.01089537951344281,0.043707873192247435,0.03808486384011932,0.03729723968561016,0.03648818071375179,0.0185282243154769,0.018388144342232193,0.018209762980541375,0.026931840333120995,0.026695190622460063,0.02636273915353397,-0.00023249786062753963,-0.00010557071841485466,0.00010783877956952251,-0.022181987965816607,-0.022032578912486334,-0.021891320089714207,-0.016027422527676884
-3.8947368421052633,0.031599915516476895,0.02942997155139488,0.02655677913598681,0.02394292965883901,-0.06769045923458378,-0.06384187934126939,-0.05355537846834524,-0.1084745142319094,-0.10397206415509078,-0.0994033848861044,-0.038732411330402304,-0.03748136358118515,-0.036340613519190844,-0.02982541552311283,-0.02911480023009437,-0.00026192132677482966,4.929424376074322e-05,1.7133686695093597e-05,0.019406799849458818,0.01683265008272803,0.01645561743351959,0.015997108009858582,-0.007013696777312076,-0.006781802839818581,-0.006589255297012771,0.006368205288073317,0.006340437112443788,0.006243705128346211,-0.03350276240515776,-0.0330164484002492,-0.032541738795764705,-0.04355929421978634,-0.043262901235361736,-0.04297787827224983,-0.015670281875290133
-3.8596491228070176,0.023101928293941643,0.003386946725259102,0.0031954876889032664,0.002993035645857848,-0.0764267343837241,-0.07207381097620022,-0.05067862241423973,-0.10847135458871385,-0.1039956512846214,-0.0994691940204272,-0.055206043688222364,-0.05338290695889758,-0.05177060564506861,-0.042532551571961674,-0.04146920521632719,-0.013879571925297297,-0.01136870846410257,-0.011131144954553694,-0.007000522843188242,-0.006172289710733116,-0.006096563952580495,-0.006155941305457586,-0.03193451980849262,-0.031352741846630686,-0.030807143687369393,-0.014892575386222202,-0.014708248511994784,-0.014558841839701013,-0.06328314845523131,-0.06246494885653145,-0.0617566299488092,-0.05997509254295866,-0.0595654073468121,-0.05916905247946061,-0.013455273246465296
-3.824561403508772,0.013050639615098267,-0.022871956141602062,-0.020376022671293202,-0.01815400963604142,-0.07907161856855048,-0.0745513058107594,-0.04376907336731605,-0.09931922717366967,-0.09524912660598026,-0.0911476556988213,-0.0671157214067464,-0.06487118122364409,-0.06292031308911313,-0.051714904356773644,-0.050386023121446154,-0.02661332680075275,-0.022074261095884392,-0.021581362906680036,-0.03309509571299869,-0.02880972889514512,-0.028280189805525217,-0.02792766478607952,-0.05389949156763846,-0.05302292880990929,-0.05217545037645355,-0.03485081763879108,-0.03447100001242852,-0.03408828661909865,-0.0866319910197345,-0.08553942284626934,-0.0846489551502786,-0.06985766200294233,-0.06937928185860909,-0.06891474404387637,-0.009805882498673396
-3.7894736842105265,0.0021677471147915073,-0.04732848430434113,-0.04234646494513898,-0.037873188773866084,-0.07544722411227753,-0.07110802401299016,-0.03343407091725385,-0.0817908960215699,-0.07847048830916424,-0.07514087079031498,-0.07338892087857365,-0.07091163034084408,-0.06878560523153385,-0.05654468897612001,-0.05506138546304853,-0.03731124940066096,-0.031100565722016034,-0.030390092844851235,-0.05643651644018377,-0.048946132547712226,-0.04800415423832345,-0.047265024683983164,-0.0708218163546393,-0.06973371551293135,-0.06866437503144839,-0.051598292176040755,-0.0510581352765596,-0.05047735322761078,-0.10124004651838926,-0.09995548656990785,-0.09895301474803922,-0.07229902402957472,-0.07180291987029483,-0.07131968326455684,-0.005270743663381733
-3.754385964912281,-0.008764450231764614,-0.06808843368057614,-0.061014244334206644,-0.05463731551565054,-0.06587252649096009,-0.06204529054258136,-0.020546184871130663,-0.0573613566892886,-0.055071014870184086,-0.052795006269445555,-0.07341096799320616,-0.07091221749665572,-0.06879164202449742,-0.05654876020106473,-0.05503708114687002,-0.04495923844357214,-0.037593469103740174,-0.03672400265073687,-0.07479203530054306,-0.06463485828234344,-0.06336167465164011,-0.062298110722265154,-0.08106264201829541,-0.07986681017647124,-0.07867723966092502,-0.06350151916047521,-0.062851681884,-0.06212746903222696,-0.10566391276586755,-0.10428705577099334,-0.10325440281251907,-0.06714128097038943,-0.0666796527320961,-0.06622854579295157,-0.00044896318752526976
-3.719298245614035,-0.01895807060491312,-0.08352946905581717,-0.07492022718157627,-0.06713618848244139,-0.051139018156515434,-0.048109084698690616,-0.00617022442594117,-0.028087217499268954,-0.0270199072680428,-0.025990283247667244,-0.06708739891959184,-0.06478351000145943,-0.06285121077852063,-0.05165664461946842,-0.05024710180261786,-0.04877770941461165,-0.04089265541176053,-0.03993904803658343,-0.08635182474249727,-0.07430391398624814,-0.07281428084005839,-0.07152068076791879,-0.08359192129578205,-0.08240309838503707,-0.08120716547716088,-0.0693624672368169,-0.06866456251298272,-0.06786603388032776,-0.09947401248073741,-0.09811265223314347,-0.09713509008952058,-0.054986971815422524,-0.0546080125792989,-0.05423611334592683,0.004086270292627772
-3.6842105263157894,-0.027675881933254827,-0.09243018415154826,-0.08296382215088177,-0.07438081087686908,-0.0324483826277341,-0.0304313349208677,0.008524896083046352,0.0035644098236350605,0.003319490030451719,0.0030153706229211763,-0.0548630907804122,-0.05295699760311064,-0.05138253679911985,-0.04221501297968305,-0.04103149422847275,-0.04830109034305016,-0.040598698268143565,-0.039645860329246524,-0.08990953627687687,-0.07691301536773987,-0.07534557521974695,-0.0739407973880811,-0.07809398405076283,-0.07702706879195037,-0.07594021912182972,-0.06854058814984419,-0.06786152197507077,-0.06706586815689151,-0.08330129177847621,-0.08206130357723343,-0.08121892915904552,-0.03713246883777547,-0.03687556872564196,-0.03662152244867631,0.007856317606547342
