N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution
20000,42,0.0,3.0,0.7,300,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,52,4455,2394.4,2065.0,0.06998913886172686,0.013836077040807207,49,2163.5,2790.0,2065.0,,
20000,7,0.0,3.0,0.7,300,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,65,4474,2389.6,2092.0,0.06950169667999574,0.01341463597100568,42,2163.5,2764.5,2092.0,,
20000,123,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,5,4,1,0.2,71,5047,2064.75,1570.5,0.06967173580325348,0.017554512918786385,38,71.0,3057.0,2074.0,,
20000,2024,0.0,3.0,0.7,300,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,59,4522,2419.0,2075.0,0.07130692241912553,0.013268542901466111,50,2211.5,2798.5,2075.0,,
20000,99,0.0,3.0,0.7,300,0.06,7,11,5,0.45454545454545453,6,5,1,0.16666666666666666,78,4489,2405.8,2082.0,0.06646591698743151,0.0142061345608717,47,2224.0,2749.5,2082.0,,
20000,42,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,496,496,496.0,496.0,0.06057867182124055,0.026883548199580096,7,496.0,,,,
20000,7,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,576,576,576.0,576.0,0.06067173955467677,0.024080805069903392,7,576.0,,,,
20000,123,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,597,597,597.0,597.0,0.060763950820045876,0.01996901815086884,7,597.0,,,,
20000,2024,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,617,617,617.0,617.0,0.060711052986502735,0.02015686025312433,7,617.0,,,,
20000,99,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,676,676,676.0,676.0,0.06062595505402646,0.018042214798672344,7,676.0,,,,
