N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution,alarm_positions
20000,42,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,6,4,2,0.3333333333333333,50,468,297.25,335.5,0.06685725122461182,0.014235001276305436,31,150.0,,444.5,,,850;1044;2668;4250;7421;8258
20000,7,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,6,4,2,0.3333333333333333,63,473,298.75,329.5,0.0666483374670871,0.013446471144023085,30,174.5,,423.0,,,863;1108;2573;4286;7473;8257
20000,123,0.0,3.0,0.7,300,0.06,5,11,4,0.36363636363636365,5,4,1,0.2,69,1045,437.25,317.5,0.06792852573199054,0.01760512208655708,30,171.5,,703.0,,,869;1128;2561;4274;8045
20000,42,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,6,4,2,0.3333333333333333,52,455,299.25,345.0,0.06998913886172686,0.013836077040807207,49,158.5,,440.0,,,852;1052;2625;4265;7455;8275
20000,7,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,6,4,2,0.3333333333333333,65,474,296.5,323.5,0.06950169667999574,0.01341463597100568,42,178.5,,414.5,,,865;1116;2555;4292;7474;8262
20000,123,0.0,3.0,0.7,300,0.06,7,11,4,0.36363636363636365,5,4,1,0.2,71,1047,439.75,320.5,0.06967173580325348,0.017554512918786385,38,172.5,,707.0,,,871;1134;2567;4274;8047
20000,42,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,6,4,2,0.3333333333333333,55,452,303.0,352.5,0.07430563186826553,0.014040095944671739,68,157.0,,449.0,,,855;1069;2646;4259;7452;8271
20000,7,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,6,4,2,0.3333333333333333,68,475,296.75,322.0,0.07246124682989176,0.013546014787804412,63,182.5,,411.0,,,868;1128;2547;4297;7475;8262
20000,123,0.0,3.0,0.7,300,0.06,10,11,4,0.36363636363636365,5,4,1,0.2,74,1052,441.5,320.0,0.07372252723843001,0.01737424149172441,53,177.5,,705.5,,,874;1162;2559;4281;8052
20000,42,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,494,494,494.0,494.0,0.060415929451868536,0.02694534435835994,5,494.0,,,,,1294
20000,7,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,574,574,574.0,574.0,0.06038582252250795,0.024218033646100427,5,574.0,,,,,1374
20000,123,0.0,3.0,1.0,300,0.06,5,11,1,0.09090909090909091,1,1,0,0.0,595,595,595.0,595.0,0.06054006679320882,0.02008038404829916,5,595.0,,,,,1395
20000,42,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,496,496,496.0,496.0,0.06057867182124055,0.026883548199580096,7,496.0,,,,,1296
20000,7,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,576,576,576.0,576.0,0.06067173955467677,0.024080805069903392,7,576.0,,,,,1376
20000,123,0.0,3.0,1.0,300,0.06,7,11,1,0.09090909090909091,1,1,0,0.0,597,597,597.0,597.0,0.060763950820045876,0.01996901815086884,7,597.0,,,,,1397
20000,42,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,499,499,499.0,499.0,0.06119956200559814,0.026705405338971182,10,499.0,,,,,1299
20000,7,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,579,579,579.0,579.0,0.06078369901498975,0.024026524422091244,10,579.0,,,,,1379
20000,123,0.0,3.0,1.0,300,0.06,10,11,1,0.09090909090909091,1,1,0,0.0,600,600,600.0,600.0,0.061116251184764776,0.019850249970710557,10,600.0,,,,,1400
20000,42,0.0,6.0,0.7,300,0.06,5,11,6,0.5454545454545454,8,6,2,0.25,45,1565,555.3333333333334,378.0,0.0674353909445472,0.020098846507290213,44,148.0,1565.0,483.0,,505.0,845;946;2442;4251;6505;7724;8451;16565
20000,7,0.0,6.0,0.7,300,0.06,5,11,5,0.45454545454545453,8,5,3,0.375,49,628,319.8,261.0,0.0718403122773032,0.029117868605366512,42,155.0,628.0,330.5,,,849;948;2435;4261;7426;7844;15628;18022
20000,123,0.0,6.0,0.7,300,0.06,5,11,7,0.6363636363636364,10,7,3,0.3,48,2363,712.5714285714286,493.0,0.06673832657564319,0.020324776697521623,57,140.0,1428.0,518.0,,816.0,848;949;2475;4232;6816;7761;8498;14363;15493;16895
20000,42,0.0,6.0,0.7,300,0.06,7,11,5,0.45454545454545453,7,5,2,0.2857142857142857,47,744,343.4,256.0,0.06913280323793196,0.03115951439068298,57,151.5,744.0,335.0,,,847;960;2452;4256;7418;7881;15744
20000,7,0.0,6.0,0.7,300,0.06,7,11,5,0.45454545454545453,8,5,3,0.375,51,633,321.0,263.0,0.07680230012203483,0.029518364743699527,74,157.0,633.0,329.0,,,851;953;2432;4263;7426;7846;15633;18174
20000,123,0.0,6.0,0.7,300,0.06,7,11,7,0.6363636363636364,10,7,3,0.3,50,2752,765.5714285714286,461.0,0.07194756710764187,0.020846892464796322,93,141.0,1606.5,512.0,,840.0,850;960;2493;4232;6840;7731;8428;14752;15461;16792
20000,42,0.0,6.0,0.7,300,0.06,10,11,5,0.45454545454545453,7,5,2,0.2857142857142857,50,774,345.8,259.0,0.07542006294552475,0.03047829203502862,77,154.5,774.0,323.0,,,850;972;2418;4259;7428;7896;15774
20000,7,0.0,6.0,0.7,300,0.06,10,11,5,0.45454545454545453,8,5,3,0.375,54,659,331.8,267.0,0.08044898782523151,0.02893616772060631,87,160.5,659.0,339.5,,,854;957;2441;4267;7438;7875;15659;18555
20000,123,0.0,6.0,0.7,300,0.06,10,11,7,0.6363636363636364,10,7,3,0.3,53,2502,731.0,483.0,0.07994611813157754,0.02089568224203571,102,143.5,1492.5,499.0,,847.0,853;980;2454;4234;6847;7744;8461;14502;15483;16865
20000,42,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,395,2048,1221.5,1221.5,0.06058472747276816,0.027574107461226755,10,395.0,2048.0,,,,1195;17048
20000,7,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,411,1617,1014.0,1014.0,0.060984460985162664,0.02815481315617379,10,411.0,1617.0,,,,1211;16617
20000,123,0.0,6.0,1.0,300,0.06,5,11,2,0.18181818181818182,2,2,0,0.0,432,2617,1524.5,1524.5,0.0607446534441003,0.02624295418704402,10,432.0,2617.0,,,,1232;17617
20000,42,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,397,2075,1236.0,1236.0,0.06084413945874965,0.027533899025310546,14,397.0,2075.0,,,,1197;17075
20000,7,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,413,1669,1041.0,1041.0,0.06153170334745216,0.028117610417061352,14,413.0,1669.0,,,,1213;16669
20000,123,0.0,6.0,1.0,300,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,434,2672,1553.0,1553.0,0.061297416635691285,0.026242159679570456,14,434.0,2672.0,,,,1234;17672
