Q,k,gamma,warmup,tau,confirmation_steps,N,n_detected_mean,n_detected_std,n_detected_count,tpr_mean,tpr_std,tpr_count,total_alarms_mean,total_alarms_std,total_alarms_count,unmatched_alarms_mean,unmatched_alarms_std,unmatched_alarms_count,delay_mean_mean,delay_mean_std,delay_mean_count,delay_median_mean,delay_median_std,delay_median_count,max_ise_mean,max_ise_std,max_ise_count,mean_background_ise_mean,mean_background_ise_std,mean_background_ise_count
0.45,4.0,0.8,400,0.08,10,20000,11.0,0.0,5,1.0,0.0,5,19.8,1.6431676725154987,5,8.8,1.6431676725154984,5,687.3818181818182,64.0557414798153,5,324.6,31.48491702387033,5,0.10920722065039093,0.009437561247863492,5,0.03781762976257104,0.0004925422880715584,5
0.55,6.0,1.0,400,0.07,5,20000,11.0,0.0,5,1.0,0.0,5,19.8,3.5637059362410923,5,8.8,3.5637059362410923,5,596.1636363636364,95.71066073595149,5,515.0,146.0873026652214,5,0.08751664289155887,0.00459662401201191,5,0.032865988657242634,0.002477762296019677,5
0.55,3.0,0.8,400,0.09,10,20000,11.0,0.0,5,1.0,0.0,5,20.4,1.3416407864998738,5,9.4,1.3416407864998738,5,637.2181818181818,136.64485547917866,5,328.8,120.0758093872367,5,0.12001612151504037,0.01070573962566311,5,0.040865355866467674,0.0027723895359000393,5
0.3,3.0,0.8,400,0.07,5,20000,11.0,0.0,5,1.0,0.0,5,20.8,1.9235384061671348,5,9.8,1.9235384061671346,5,573.7636363636364,150.68290277958758,5,292.8,53.37321425584185,5,0.13352361516070865,0.019890308915561473,5,0.027034571400882123,0.0008896905313723941,5
0.3,3.0,0.8,300,0.07,7,20000,11.0,0.0,5,1.0,0.0,5,21.0,2.6457513110645907,5,10.0,2.6457513110645907,5,567.709090909091,141.43494839713125,5,261.4,49.47019304591402,5,0.14770290097464228,0.011497352674536578,5,0.02695367442811362,0.0007111395232936366,5
0.3,3.0,0.8,300,0.07,10,20000,11.0,0.0,5,1.0,0.0,5,21.0,2.6457513110645907,5,10.0,2.6457513110645907,5,571.5272727272728,156.5670109749172,5,296.4,59.239345033516365,5,0.14432361475392028,0.009572841056909817,5,0.027612697576665457,0.0012845580643703679,5
0.45,4.0,0.8,300,0.08,10,20000,11.0,0.0,5,1.0,0.0,5,21.0,1.8708286933869707,5,10.0,1.8708286933869707,5,687.3818181818182,64.0557414798153,5,324.6,31.48491702387033,5,0.10767563296248776,0.0076932367106987195,5,0.03779076005657062,0.0004996316302458755,5
0.55,6.0,1.0,300,0.07,5,20000,11.0,0.0,5,1.0,0.0,5,21.0,3.0,5,10.0,3.0,5,591.5090909090909,88.94170251508002,5,515.0,146.0873026652214,5,0.09683478933244652,0.008294367920702088,5,0.03286233579949553,0.002482409071487715,5
0.3,3.0,0.8,300,0.07,5,20000,11.0,0.0,5,1.0,0.0,5,21.2,2.2803508501982757,5,10.2,2.2803508501982757,5,565.0363636363636,142.3420336564521,5,265.4,50.47078362775835,5,0.14051311288328763,0.01994876360809733,5,0.02697045680278712,0.0008209773016526511,5
0.3,3.0,0.8,250,0.07,7,20000,11.0,0.0,5,1.0,0.0,5,21.6,2.509980079602227,5,10.6,2.5099800796022262,5,567.7636363636364,141.40481130837458,5,261.4,49.47019304591402,5,0.14770290097464228,0.011497352674536578,5,0.026995440967954698,0.0008247538577588094,5
0.3,3.0,0.8,250,0.07,5,20000,11.0,0.0,5,1.0,0.0,5,21.6,2.509980079602227,5,10.6,2.5099800796022262,5,565.0363636363636,142.3420336564521,5,265.4,50.47078362775835,5,0.14051311288328763,0.01994876360809733,5,0.02702004275336432,0.0009386277924957613,5
0.3,3.0,0.8,250,0.07,10,20000,11.0,0.0,5,1.0,0.0,5,21.6,2.509980079602227,5,10.6,2.5099800796022262,5,571.6,156.50010693630333,5,296.4,59.239345033516365,5,0.13369436222382142,0.019872393341250977,5,0.02767628163443004,0.0014320748116412763,5
0.55,3.0,0.8,300,0.09,10,20000,11.0,0.0,5,1.0,0.0,5,21.8,0.8366600265340757,5,10.8,0.8366600265340755,5,627.9454545454546,137.09473107766104,5,310.0,89.43153806124549,5,0.12123670424110769,0.008802923977328878,5,0.04098669244946422,0.0026930185953934955,5
0.55,6.0,0.8,400,0.085,10,20000,11.0,0.0,5,1.0,0.0,5,21.8,1.6431676725154984,5,10.8,1.6431676725154982,5,602.9818181818182,126.77960312524661,5,333.0,77.89415895944958,5,0.10359969502207686,0.004570697129698951,5,0.040087725469216434,0.0021730827367720472,5
0.3,3.0,0.8,200,0.07,7,20000,11.0,0.0,5,1.0,0.0,5,22.0,2.9154759474226504,5,11.0,2.9154759474226504,5,567.0909090909091,141.78338734005416,5,261.4,49.47019304591402,5,0.14770290097464228,0.011497352674536578,5,0.026974326765241502,0.0007686565424613478,5
0.3,3.0,0.8,200,0.07,5,20000,11.0,0.0,5,1.0,0.0,5,22.0,2.9154759474226504,5,11.0,2.9154759474226504,5,564.4181818181818,142.66688936930692,5,265.4,50.47078362775835,5,0.1385090229311856,0.023686139699502028,5,0.027036198074724422,0.0009340142495878345,5
0.55,3.0,1.0,400,0.06,7,20000,11.0,0.0,5,1.0,0.0,5,22.0,2.23606797749979,5,11.0,2.23606797749979,5,517.6181818181818,82.81876559019882,5,323.6,112.87293741194122,5,0.08322196666539147,0.004447019506859199,5,0.026179322618411566,0.0015690433322783173,5
0.55,3.0,1.0,400,0.06,10,20000,11.0,0.0,5,1.0,0.0,5,22.2,2.280350850198276,5,11.2,2.280350850198276,5,516.4,86.86076062030075,5,322.0,116.52253001029457,5,0.08586035024293773,0.005578521062522815,5,0.026311933898011293,0.001665334682818441,5
0.55,3.0,1.0,400,0.06,5,20000,11.0,0.0,5,1.0,0.0,5,22.2,2.280350850198276,5,11.2,2.280350850198276,5,517.7272727272727,85.81001983528634,5,323.4,108.10319144225114,5,0.08329426669625269,0.004503018148660876,5,0.026028531033697188,0.0016322001150486853,5
0.45,4.0,0.8,250,0.08,10,20000,11.0,0.0,5,1.0,0.0,5,22.2,1.9235384061671341,5,11.2,1.9235384061671343,5,687.2545454545455,63.6692901829186,5,324.6,31.48491702387033,5,0.11516443127065006,0.0049774110187418095,5,0.03785379210283746,0.00039741313324741625,5
